Run kind: baseline
graph_rw_active: False  alpha_active: False
alpha_schedule: constant 0.0 (run_kind=baseline short-circuits alpha_for_step). Any rw_* CLI flags are ignored at training time.
shuffle_granularity: 64 (groups of 4 tokens)
Output dir: runs/handoff_overnight/seed42
Device: cuda:0
[data-source=continuous] memmap streams train=/home/admin/ych/nanogpt-learned-order/data/wikitext103/train.bin val=/home/admin/ych/nanogpt-learned-order/data/wikitext103/val.bin
[continuous] train stream tokens=118496151 eval windows=2000 (block=256)
[attn_trajectory] enabled — 16 fixed samples, heatmap every 5000 steps, output=runs/handoff_overnight/seed42/attention_trajectory
[Eval @ 0] alpha=0.0000
[Eval @ 0] train_obj=10.9011 | ori_l2r=10.9014 | model_order=10.9017 | unstructured=10.9011 | rw=10.9013
[attn_traj] fixed 16 attention samples, indices_hash=0xfd22fda5
[attn_traj] heatmaps saved @ step 0 (extraction 0.3s)
Saved checkpoint: runs/handoff_overnight/seed42/ckpt_step0.pt
step  1120-> 1121/10000 | loss=5.3558 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 430s
step  1130-> 1131/10000 | loss=5.3755 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 432s
step  1140-> 1141/10000 | loss=5.3361 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 435s
step  1150-> 1151/10000 | loss=5.2945 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 437s
step  1160-> 1161/10000 | loss=5.2919 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 440s
step  1170-> 1171/10000 | loss=5.2757 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 442s
step  1180-> 1181/10000 | loss=5.3036 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 444s
step  1190-> 1191/10000 | loss=5.2248 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 447s
[Eval @ 1200] alpha=0.0000
[Eval @ 1200] train_obj=5.2904 | ori_l2r=5.2026 | model_order=5.2911 | unstructured=5.2904 | rw=5.2724
step  1200-> 1201/10000 | loss=5.2330 | alpha=0.000 | lr=9.99e-04 | 2.77s/step | ETA 6.8h | total 475s
step  1210-> 1211/10000 | loss=5.3228 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 477s
step  1220-> 1221/10000 | loss=5.2611 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 480s
step  1230-> 1231/10000 | loss=5.2798 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 482s
step  1240-> 1241/10000 | loss=5.3004 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 484s
step  1250-> 1251/10000 | loss=5.3569 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 487s
step  1260-> 1261/10000 | loss=5.1981 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 489s
step  1270-> 1271/10000 | loss=5.2565 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 35m | total 492s
step  1280-> 1281/10000 | loss=5.1818 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 35m | total 494s
step  1290-> 1291/10000 | loss=5.2181 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 35m | total 497s
step  1300-> 1301/10000 | loss=5.2969 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 499s
step  1310-> 1311/10000 | loss=5.2646 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 501s
step  1320-> 1321/10000 | loss=5.2279 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 504s
step  1330-> 1331/10000 | loss=5.2075 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 506s
step  1340-> 1341/10000 | loss=5.2489 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 509s
step  1350-> 1351/10000 | loss=5.2006 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 511s
step  1360-> 1361/10000 | loss=5.2056 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 514s
step  1370-> 1371/10000 | loss=5.1894 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 516s
step  1380-> 1381/10000 | loss=5.2621 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 519s
step  1390-> 1391/10000 | loss=5.2491 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 521s
[Eval @ 1400] alpha=0.0000
[Eval @ 1400] train_obj=5.1893 | ori_l2r=5.1202 | model_order=5.1894 | unstructured=5.1893 | rw=5.1883
step  1400-> 1401/10000 | loss=5.3146 | alpha=0.000 | lr=9.98e-04 | 2.77s/step | ETA 6.6h | total 549s
step  1410-> 1411/10000 | loss=5.1900 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 551s
step  1420-> 1421/10000 | loss=5.1675 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 554s
step  1430-> 1431/10000 | loss=5.1717 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 556s
step  1440-> 1441/10000 | loss=5.1464 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 558s
