setup	sample_idx	sample_id	readiness_strength	asymmetry	row_entropy	top1_mass	top4_mass	argmax_dist	p_nbr_le1	locality_score	local_greedy_dist	directionality	out_degree_std	in_degree_std
text	141	50275	23.60004	0.592244	0.963086	0.062973	0.178526	22.65625	0.015625	0.0	23.412698	0.5625	0.054217	0.010453
text	142	449239	19.368037	0.545687	0.962538	0.06145	0.178152	21.515625	0.015625	0.006971	21.888889	0.515625	0.04264	0.01093
text	143	278268	26.503833	0.632683	0.961753	0.062031	0.175549	21.640625	0.03125	0.001202	23.31746	0.5	0.071517	0.013118
text	144	286645	23.42249	0.5573	0.961947	0.06192	0.177579	22.40625	0.03125	0.0	22.412698	0.53125	0.063327	0.011111
text	145	320035	22.265947	0.609864	0.96051	0.062516	0.180328	19.4375	0.046875	0.102885	22.52381	0.578125	0.048992	0.010717
text	146	400533	21.658535	0.589104	0.960003	0.063166	0.182366	23.375	0.03125	0.0	21.920635	0.515625	0.048475	0.010009
text	147	246629	29.291137	0.683806	0.957659	0.068413	0.18802	22.421875	0.03125	0.0	22.507937	0.515625	0.051623	0.012395
text	148	418019	19.275166	0.558274	0.963008	0.061486	0.177483	21.375	0.046875	0.013462	21.47619	0.515625	0.042668	0.00948
text	149	401226	23.14795	0.607492	0.960347	0.064337	0.18013	21.578125	0.03125	0.004087	21.68254	0.5	0.052342	0.010528
text	150	73522	22.068866	0.582239	0.962493	0.063329	0.181351	23.25	0.0625	0.0	21.746032	0.515625	0.038504	0.010352
text	151	432418	18.536724	0.549511	0.960997	0.063546	0.180952	24.921875	0.03125	0.0	21.047619	0.515625	0.039911	0.010178
text	152	109396	23.171858	0.593364	0.959976	0.063315	0.18477	22.53125	0.03125	0.0	22.857143	0.5	0.051505	0.010079
text	153	314763	22.154785	0.577085	0.961455	0.0638	0.181636	22.8125	0.03125	0.0	20.365079	0.515625	0.059317	0.011876
text	154	6079	23.499626	0.612291	0.962321	0.060913	0.177819	24.6875	0.015625	0.0	21.587302	0.5	0.062633	0.012025
text	155	429610	24.101707	0.612338	0.958536	0.0691	0.189442	24.28125	0.03125	0.0	22.873016	0.5	0.043292	0.009228
text	156	109225	20.90774	0.5534	0.966195	0.058263	0.170891	25.21875	0.03125	0.0	24.095238	0.5	0.055432	0.011917
text	157	268861	24.09107	0.581826	0.96099	0.066965	0.18323	25.75	0.03125	0.0	24.571429	0.515625	0.043163	0.009801
text	158	4728	20.684409	0.556308	0.962525	0.062651	0.177993	23.8125	0.03125	0.0	23.365079	0.5	0.05603	0.01075
text	159	23412	21.785654	0.608173	0.957649	0.068529	0.186106	22.296875	0.0625	0.0	20.746032	0.5	0.04856	0.010475
text	160	17355	21.328423	0.576817	0.96045	0.061951	0.183158	25.625	0.03125	0.0	23.904762	0.5625	0.045639	0.011479
text	161	205312	28.948924	0.641746	0.960386	0.066774	0.184703	22.28125	0.046875	0.0	20.095238	0.515625	0.051519	0.012295
text	162	436833	27.055482	0.643638	0.958532	0.066951	0.18541	23.21875	0.03125	0.0	24.142857	0.53125	0.072607	0.013041
text	163	277407	22.894024	0.570516	0.964939	0.061918	0.175	23.59375	0.0	0.0	21.492063	0.515625	0.062667	0.010462
