Run kind: baseline
graph_rw_active: False  alpha_active: False
alpha_schedule: constant 0.0 (run_kind=baseline short-circuits alpha_for_step). Any rw_* CLI flags are ignored at training time.
shuffle_granularity: 64 (groups of 4 tokens)
Output dir: runs/handoff_overnight/seed123
Device: cuda:0
[data-source=continuous] memmap streams train=/home/admin/ych/nanogpt-learned-order/data/wikitext103/train.bin val=/home/admin/ych/nanogpt-learned-order/data/wikitext103/val.bin
[continuous] train stream tokens=118496151 eval windows=2000 (block=256)
[attn_trajectory] enabled — 16 fixed samples, heatmap every 5000 steps, output=runs/handoff_overnight/seed123/attention_trajectory
[Eval @ 0] alpha=0.0000
[Eval @ 0] train_obj=10.8942 | ori_l2r=10.8922 | model_order=10.8943 | unstructured=10.8942 | rw=10.8941
[attn_traj] fixed 16 attention samples, indices_hash=0xf363957
[attn_traj] heatmaps saved @ step 0 (extraction 0.4s)
Saved checkpoint: runs/handoff_overnight/seed123/ckpt_step0.pt
step   830->  831/10000 | loss=5.4531 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 336s
step   840->  841/10000 | loss=5.4227 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 338s
step   850->  851/10000 | loss=5.3650 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 340s
step   860->  861/10000 | loss=5.3887 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 343s
step   870->  871/10000 | loss=5.4104 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 345s
step   880->  881/10000 | loss=5.4127 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 348s
step   890->  891/10000 | loss=5.4487 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 350s
step   900->  901/10000 | loss=5.4371 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 353s
step   910->  911/10000 | loss=5.3937 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 355s
step   920->  921/10000 | loss=5.4155 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 358s
step   930->  931/10000 | loss=5.4383 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 360s
step   940->  941/10000 | loss=5.3144 | alpha=0.000 | lr=9.99e-04 | 0.25s/step | ETA 37m | total 363s
step   950->  951/10000 | loss=5.4082 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 365s
step   960->  961/10000 | loss=5.4128 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 367s
step   970->  971/10000 | loss=5.2928 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 370s
step   980->  981/10000 | loss=5.4164 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 372s
step   990->  991/10000 | loss=5.3495 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 375s
[Eval @ 1000] alpha=0.0000
[Eval @ 1000] train_obj=5.3493 | ori_l2r=5.2779 | model_order=5.3499 | unstructured=5.3493 | rw=5.3384
Saved checkpoint: runs/handoff_overnight/seed123/ckpt_step1000.pt
step  1000-> 1001/10000 | loss=5.3734 | alpha=0.000 | lr=9.99e-04 | 2.89s/step | ETA 7.2h | total 404s
step  1010-> 1011/10000 | loss=5.3049 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 406s
step  1020-> 1021/10000 | loss=5.4495 | alpha=0.000 | lr=9.99e-04 | 0.25s/step | ETA 37m | total 409s
step  1030-> 1031/10000 | loss=5.3463 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 411s
step  1040-> 1041/10000 | loss=5.3822 | alpha=0.000 | lr=9.99e-04 | 0.25s/step | ETA 37m | total 413s
step  1050-> 1051/10000 | loss=5.3669 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 416s
step  1060-> 1061/10000 | loss=5.2605 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 418s
step  1070-> 1071/10000 | loss=5.2616 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 421s
step  1080-> 1081/10000 | loss=5.2530 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 423s
step  1090-> 1091/10000 | loss=5.3504 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 426s
step  1100-> 1101/10000 | loss=5.2375 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 428s
step  1110-> 1111/10000 | loss=5.3097 | alpha=0.000 | lr=9.99e-04 | 0.25s/step | ETA 36m | total 431s
step  1120-> 1121/10000 | loss=5.2962 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 433s
step  1130-> 1131/10000 | loss=5.2734 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 435s
step  1140-> 1141/10000 | loss=5.2736 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 438s
step  1150-> 1151/10000 | loss=5.3086 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 440s
step  1160-> 1161/10000 | loss=5.1953 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 443s
step  1170-> 1171/10000 | loss=5.1662 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 445s
step  1180-> 1181/10000 | loss=5.2838 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 448s
step  1190-> 1191/10000 | loss=5.2300 | alpha=0.000 | lr=9.99e-04 | 0.25s/step | ETA 36m | total 450s
[Eval @ 1200] alpha=0.0000
[Eval @ 1200] train_obj=5.2127 | ori_l2r=5.1694 | model_order=5.2110 | unstructured=5.2127 | rw=5.2255
step  1200-> 1201/10000 | loss=5.2458 | alpha=0.000 | lr=9.99e-04 | 2.83s/step | ETA 6.9h | total 478s
step  1210-> 1211/10000 | loss=5.2049 | alpha=0.000 | lr=9.99e-04 | 0.25s/step | ETA 36m | total 481s
step  1220-> 1221/10000 | loss=5.1938 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 483s
step  1230-> 1231/10000 | loss=5.1595 | alpha=0.000 | lr=9.99e-04 | 0.25s/step | ETA 36m | total 486s
step  1240-> 1241/10000 | loss=5.2313 | alpha=0.000 | lr=9.99e-04 | 0.25s/step | ETA 36m | total 488s
step  1250-> 1251/10000 | loss=5.1659 | alpha=0.000 | lr=9.99e-04 | 0.25s/step | ETA 36m | total 491s
step  1260-> 1261/10000 | loss=5.1345 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 493s
step  1270-> 1271/10000 | loss=5.2284 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 496s
step  1280-> 1281/10000 | loss=5.2313 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 35m | total 498s
step  1290-> 1291/10000 | loss=5.1852 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 500s
step  1300-> 1301/10000 | loss=5.2162 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 503s
step  1310-> 1311/10000 | loss=5.1104 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 505s
step  1320-> 1321/10000 | loss=5.1493 | alpha=0.000 | lr=9.98e-04 | 0.24s/step | ETA 35m | total 508s
