Run kind: baseline
graph_rw_active: False  alpha_active: False
alpha_schedule: constant 0.0 (run_kind=baseline short-circuits alpha_for_step). Any rw_* CLI flags are ignored at training time.
shuffle_granularity: 64 (groups of 4 tokens)
Output dir: runs/handoff_overnight/seed2
Device: cuda:0
[data-source=continuous] memmap streams train=/home/admin/ych/nanogpt-learned-order/data/wikitext103/train.bin val=/home/admin/ych/nanogpt-learned-order/data/wikitext103/val.bin
[continuous] train stream tokens=118496151 eval windows=2000 (block=256)
[attn_trajectory] enabled — 16 fixed samples, heatmap every 5000 steps, output=runs/handoff_overnight/seed2/attention_trajectory
[Eval @ 0] alpha=0.0000
[Eval @ 0] train_obj=10.9009 | ori_l2r=10.9008 | model_order=10.9008 | unstructured=10.9009 | rw=10.9008
[attn_traj] fixed 16 attention samples, indices_hash=0x7b01409d
[attn_traj] heatmaps saved @ step 0 (extraction 0.4s)
Saved checkpoint: runs/handoff_overnight/seed2/ckpt_step0.pt
step   980->  981/10000 | loss=5.4452 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 372s
step   990->  991/10000 | loss=5.4125 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 374s
[Eval @ 1000] alpha=0.0000
[Eval @ 1000] train_obj=5.3706 | ori_l2r=5.2970 | model_order=5.3717 | unstructured=5.3706 | rw=5.3554
Saved checkpoint: runs/handoff_overnight/seed2/ckpt_step1000.pt
step  1000-> 1001/10000 | loss=5.3917 | alpha=0.000 | lr=9.99e-04 | 2.87s/step | ETA 7.2h | total 403s
step  1010-> 1011/10000 | loss=5.4328 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 406s
step  1020-> 1021/10000 | loss=5.4355 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 408s
step  1030-> 1031/10000 | loss=5.4201 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 410s
step  1040-> 1041/10000 | loss=5.3497 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 37m | total 413s
step  1050-> 1051/10000 | loss=5.3355 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 415s
step  1060-> 1061/10000 | loss=5.3396 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 418s
step  1070-> 1071/10000 | loss=5.3257 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 420s
step  1080-> 1081/10000 | loss=5.4022 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 423s
step  1090-> 1091/10000 | loss=5.3671 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 425s
step  1100-> 1101/10000 | loss=5.3294 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 428s
step  1110-> 1111/10000 | loss=5.3877 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 430s
step  1120-> 1121/10000 | loss=5.3632 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 432s
step  1130-> 1131/10000 | loss=5.3859 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 435s
step  1140-> 1141/10000 | loss=5.4179 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 437s
step  1150-> 1151/10000 | loss=5.3521 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 440s
step  1160-> 1161/10000 | loss=5.3399 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 442s
step  1170-> 1171/10000 | loss=5.3072 | alpha=0.000 | lr=9.99e-04 | 0.24s/step | ETA 36m | total 445s
